SoilClassSubGroup,SoilClassGroup,n,Subgroup_new,Group_new,nOTES
,BR,486,,,
O,DB,250,,,
,DB,239,,,
GL,BR,191,BR,GL,
,ED,146,E,DYB,
O,BR,145,O,BRC,
,O.FH,83,O,FHP,
,E,73,,,
,OD,71,,,
B,,68,,B,
,OH,58,O,H,
,O.DB,57,O,DBC,
G,,41,O,G,
CA,DB,40,CA,DBC,
,O.R,39,O,R,
,LO,36,,,
O,BL,33,O,BLC,
,O.EB,33,O,EB,
FT,FT,32,,,
R,,27,,R,
D,DB,26,,,
,GHF,26,GL,HFP,
FT,,26,,,
GL,,23,,GL,
,CU.R,22,CU,R,
,BL,21,,BLC,
E,BR,21,O,EB,
,C,21,,,
,EDYB,21,E,DYB,
O,,21,,,
O,DG,20,O,DGL,
FGB,FGB,20,,,
,HU.F,20,HU,FO,
,GL.F,19,,,
,LOD,19,,,
,LED,17,,,
,OHG,17,O,HG,
E,DB,16,E,DBC,
,O.G,16,O,G,
SM,BR,15,O,SB,
O,FP,15,,,
LP,LP,15,,,
,OF,15,,,
FGB,,15,,,
R,DB,13,R,DBC,
,LOH,13,,,
,O.HF,13,O,HFP,
,OILC,13,,,
,TY.H,13,TY,H,
PZ,,13,,,
,ODYB,12,O,DYB,
,TO,12,,,
,.DYB,11,,DYB,
,OG,11,O,G,
,R.G,11,R,G,
BR,,11,,,
H,,11,O,H,
OB,,11,,B,
,.EB,10,,EB,
,SHF,10,,,
,,10,,,
CA,.DB,9,CA,DBC,
,CU,9,,,
,OHFP,9,O,HFP,
BR,BR,8,,,
EEB,E,8,E,EB,
MHFP,G*,8,,,
,NONE,8,,,
HFP,O.,8,O,HFP,
,GLED,7,,,
,HE.F,7,HE,FO,
,LE,7,,,
SOIL,NON,7,,,
,O.DY,7,O,DYB,
,RHF,7,,,
,TED,7,,,
DB,,7,,DBC,
OR,,7,O,R,
GLSM,BR,6,GL,SB,
,DG,6,,DGL,
,EDB,6,E,DBC,
,GLD,6,,,
HU,HU,6,,,
,O.GL,6,O,GL,
,OT.F,6,,,
,.R,5,,R,
G,BL,5,GL,BLC,
,EEB,5,E,EB,
SHFP,G*,5,,,
,LTO,5,,,
,OHF,5,,HFP,
,TOD,5,,,
,U.R,5,,,
O.DY,,5,O,DYB,
T,AFO,4,,,
G,CU,4,,,
E,E,4,,,
EB,E,4,,,
FGT,FGT,4,,,
B,G.DY,4,GL,DYB,
,GL.R,4,GL,R,
,GLC,4,,,
MFHP,GO,4,,,
,O.B,4,,B,
O,OILC,4,,,
,OSB,4,,,
O,RG,4,R,G,
,*,3,,NA,
,.BL,3,,BLC,
,.G,3,,G,
,.MB,3,,MB,
,0.HF,3,O,HFP,
TY,AFO,3,TY,FO,
CA,BL,3,CA,BLC,
R,BL,3,R,BLC,
GL,DG,3,GL,DGC,
,DYEB,3,,,
,GLF,3,,,
O,HRG,3,,,
,LOF,3,,,
LR,LR,3,,,
DYB,O.,3,O,DYB,
G,O.,3,O,G,
OB,OB,3,,,
,ORGA,3,,,
G,R.,3,R,G,
PRRA,RRA,3,,,
,TY.M,3,TY,M,
FGT,,3,,,
HFP,,3,O,HFP,
P,,3,,,
TY,,3,,,
,YPF,3,,,
,.DB,2,,DBC,
O,.DYB,2,O,DYB,
,.GL,2,,GL,
,.LG,2,,LG,
GL,BL,2,GL,BLC,
0,BR,2,O,BRC,
B,BR,2,,,
G,BR,2,,,
R,CU,2,CU,R,
,D.GL,2,D,GL,
GL,DB,2,GL,DBC,
,DU.F,2,DU,FHP,
O,EB-Y,2,,,
EDYB,ED,2,E,DYB,
O,EP,2,,,
,ER,2,,,
FE,FE,2,,,
G,FE,2,FE,G,
,FE.G,2,FE,G,
M,FI,2,,,
DYB,GL.,2,GL,DYB,
,GLB,2,,,
R,GLCU,2,GLCU,R,
M,HU,2,,,
ME,HU,2,,,
LF,LF,2,,,
FR,LFO,2,,,
,LTED,2,,,
,LTOH,2,,,
,M/H,2,,,
,MG,2,,,
H,O.,2,O,H,
R,O.,2,O,R,
R.,O.,2,O,R,
SB,O.,2,O,SB,
,O.BL,2,,,
,O.HP,2,O,HP,
,ODY,2,,,
B,OILC,2,,,
E,OILC,2,,,
GL,OILC,2,,,
T,OILC,2,,,
OR,OR,2,,,
OSB,OSB,2,,,
,PB,2,,,
,SM.F,2,,,
NON,SOIL,2,,,
,T,2,,,
,TLOD,2,,,
,TOH,2,,,
F,TY.,2,TY,F,
,TY.F,2,TY,F,
BGL,,2,,,
E,,2,,,
HU,,2,,,
ME,,2,,,
N,,2,,,
O.HF,,2,O,HFP,
SM,,2,,,
,",DYB",1,,DYB,
,.B,1,,,
DCA,.DB,1,CA,DBC,
,.DXB,1,,,
B,.E.E,1,,,
O,.GL,1,,GL,
,.HG,1,O,HG,
,.HR,1,,HR,
,.M,1,,M,
,.SB,1,,SB,
,>DYB,1,,DYB,
,0.DB,1,O,DBC,
,0.EB,1,O,EB,
,0.FH,1,O,FHP,
,BB,1,,,
CA,BC,1,CA,BC,
O.BC,BC,1,O,BC,
R,BC,1,R,BC,
,BC,1,,BC,
TY,BFO,1,TY,FO,
,BGL,1,,,
E,BL,1,E,BLC,
GLSZ,BL,1,GLSZ,BLC,
SZ,BL,1,SZ,BLC,
CA,BR,1,CA,BRC,
CU,BR,1,,,
GLCU,BR,1,,,
GLE,BR,1,,,
PZ,BR,1,,,
,BR/L,1,,,
BL,BRG,1,,,
,BRGL,1,BR,GL,
,BRUN,1,,,
CA,C,1,CA,BC,
DB,C,1,,DBC,
R,C,1,CU,R,
,CA.B,1,CA,BC,
,CL,1,,,
CR,CR,1,,,
GL,CU,1,,,
H,CU,1,,H,
T,CU,1,,,
,CU.H,1,,,
,CUH,1,,,
GL,CUR,1,,,
O,CUR,1,,,
,CUR,1,CU,R,
,D,1,,,
0,DB,1,O,DBC,
BR,DB,1,BR,DBC,
DB,DB,1,,DBC,
G,DB,1,GL,DBC,
GLCA,DB,1,GLCA,DBC,
GLE,DB,1,GLE,DBC,
LI,DB,1,,DBC,
CA,DG,1,CA,DGC,
DG,DG,1,,DGC,
GL,DG*,1,GL,DGC,
GL,DTB,1,,,
,DUD,1,,,
,DUH,1,,,
,DYB?,1,,DYB,
O,DYG,1,,,
,DYS,1,,,
DYB,E,1,E,DYB,
O,E,1,,,
,E.DY,1,E,DYB,
GL,F.,1,,,
M,FE,1,,,
HG,FE.,1,FE,HG,
LG.,FE.,1,FE,LG,
FG,FG,1,,,
,FHB,1,,,
,FI.M,1,FI,M,
GL,FP,1,,,
OT,FP,1,,,
SM,FP,1,,,
LFO,FR,1,,,
,FSI,1,,,
SFHP,G*,1,,,
GL,GB,1,GL,GBL,
O,GB,1,,,
L,GBRG,1,,,
HFP,GDU,1,GLDU,HFP,
,GIGL,1,,,
R,GL.,1,GL,R,
,GL.H,1,,,
,GL.L,1,,,
O,GLB,1,,,
,GLCU,1,,,
GL,GLD,1,,,
P,GLDU,1,,,
,GLDU,1,,,
,GLH,1,,,
HP,GLO,1,,,
,GLOT,1,,,
,GLR,1,,,
O,GO,1,,,
,GOB,1,,,
HY,GR,1,,,
PZ,GSHF,1,,,
,H.G,1,O,HG,
,H.R,1,,HR,
,HEIG,1,,,
,HM.F,1,,FO,
SB,HPF,1,,,
.LG,HU,1,HU,LG,
FI,HU,1,HU,M,
G,HU,1,,HG,
,HU.R,1,O,HR,
,HUF,1,,,
,L0H,1,,,
LH,LH,1,,,
,LHEG,1,,,
LOEB,LO,1,,,
,LSF,1,,,
,LT,1,,,
,LT0,1,,,
,LTOD,1,,,
GL,LU,1,,,
,LU,1,,,
O,MB?,1,,,
O,MBSB,1,,,
GL,MB-Y,1,GL,MB,
O,MB-Y,1,,,
,MD,1,,,
FI,ME,1,,,
ME,MR,1,,,
,NA,1,,,
NS+O,NS+,1,,,
,NSOD,1,,,
FHP,O.,1,O,GL,
B,O.DY,1,O,DYB,
PZ,O.HF,1,P-,,
O.EB,O.HG,1,O,HG,
O.HG,O.HG,1,O,HG,
O.MB,O.MB,1,O,MB,
,O.MB,1,O,MB,
L,O.R.,1,,,
,ODB,1,O,DBC,
BR,ODY,1,O,DYB,
,OEB,1,O,EB,
,OEB-,1,,,
,OEBE,1,,,
OHFP,OH,1,O,HFP,
PZ,OHF,1,,,
CU,OILC,1,,,
D,OILC,1,,,
G,OILC,1,,,
HG,OILC,1,,,
MB,OILC,1,,,
TY,OILC,1,,,
OIL,ON-S,1,,,
,OR,1,,,
,ORG,1,,,
,OTH,1,,,
,OU.F,1,,,
O,OYBR,1,,,
HFP,P.,1,P,HFP,
,PGLH,1,,,
GL,PZ,1,,,
PZ,PZ,1,,,
G.,R.,1,R,G,
,R.G-,1,R,G,
,R.HG,1,R,HG,
R+OR,R+,1,,,
CU,REG,1,CU,R,
CU,RG,1,CU,R,
HU,RG,1,R,HG,
,RG,1,R,G,
,ROCK,1,,,
,SBR,1,,,
,SHFP,1,SM,HFP,
E,SYB,1,,,
,T.F,1,T,F,
,T.H,1,T,H,
O,TB,1,,,
TEEB,TEEB,1,,,
PZ,TFO,1,,,
R,TFO,1,,,
,TG,1,,,
,TGLD,1,,,
,TH,1,,,
,TLED,1,,,
,TLO,1,,,
,TM,1,,,
TOEB,TO,1,,,
.F,TY,1,TY,F,
.M,TY,1,TY,M,
F,TY,1,TY,F,
FO,TY,1,HU,FO,
H,TY,1,TY,H,
F?,TY.,1,TY,F,
M,TY.,1,TY,M,
,TYH,1,TY,H,
R,U,1,,,
12,,1,O,EB,
.OR,,1,O,R,
CL,,1,,,
CU,,1,,,
D,,1,,,
DU.S,,1,,,
DYB,,1,O,DYB,
E.EB,,1,E,EB,
FG,,1,,,
GL.S,,1,,,
GLE,,1,,,
H2O,,1,,,
L,,1,,,
ME?,,1,,,
MHFP,,1,SM,HFP,
NON,,1,,,
O.EB,,1,O,EB,
O.GL,,1,O,GL,
ODB,,1,O,DBC,
OT,,1,,,
RG,,1,R,G,
SB,,1,,SB,
T,,1,,,
TM,,1,T,M,
